2022-09-14 18:49:27,061 INFO    MainThread:42723 [wandb_setup.py:_flush():76] Configure stats pid to 42723
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_setup.py:_flush():76] Loading settings from /home/sasank/.config/wandb/settings
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_setup.py:_flush():76] Loading settings from /media/sasank/LinuxStorage/Dropbox (UFL)/LitJTML/scripts/wandb/settings
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/media/sasank/LinuxStorage/Dropbox (UFL)/LitJTML/scripts/train.py'}
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_init.py:_log_setup():461] Logging user logs to /media/sasank/LinuxStorage/Dropbox (UFL)/LitJTML/scripts/wandb/run-20220914_184927-19t4xa0y/logs/debug.log
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_init.py:_log_setup():462] Logging internal logs to /media/sasank/LinuxStorage/Dropbox (UFL)/LitJTML/scripts/wandb/run-20220914_184927-19t4xa0y/logs/debug-internal.log
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_init.py:init():495] calling init triggers
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {'init': {'PROJECT': 'my-project'}, 'etl': {}, 'datamodule': {}, 'dataset': {}}
2022-09-14 18:49:27,062 INFO    MainThread:42723 [wandb_init.py:init():548] starting backend
2022-09-14 18:49:27,062 INFO    MainThread:42723 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-09-14 18:49:27,073 INFO    MainThread:42723 [backend.py:ensure_launched():217] starting backend process...
2022-09-14 18:49:27,079 INFO    MainThread:42723 [backend.py:ensure_launched():222] started backend process with pid: 42739
2022-09-14 18:49:27,080 INFO    MainThread:42723 [wandb_init.py:init():558] backend started and connected
2022-09-14 18:49:27,085 INFO    MainThread:42723 [wandb_init.py:init():634] updated telemetry
2022-09-14 18:49:27,086 INFO    MainThread:42723 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2022-09-14 18:49:27,614 INFO    MainThread:42723 [wandb_run.py:_on_init():1919] communicating current version
2022-09-14 18:49:27,712 INFO    MainThread:42723 [wandb_run.py:_on_init():1923] got version response upgrade_message: "wandb version 0.13.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-09-14 18:49:27,712 INFO    MainThread:42723 [wandb_init.py:init():700] starting run threads in backend
2022-09-14 18:49:29,849 INFO    MainThread:42723 [wandb_run.py:_console_start():1893] atexit reg
2022-09-14 18:49:29,849 INFO    MainThread:42723 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.REDIRECT
2022-09-14 18:49:29,850 INFO    MainThread:42723 [wandb_run.py:_redirect():1771] Redirecting console.
2022-09-14 18:49:29,851 INFO    MainThread:42723 [wandb_run.py:_redirect():1827] Redirects installed.
2022-09-14 18:49:29,851 INFO    MainThread:42723 [wandb_init.py:init():732] run started, returning control to user process
