2022-09-20 20:26:48,523 INFO    MainThread:53378 [wandb_setup.py:_flush():68] Configure stats pid to 53378
2022-09-20 20:26:48,524 INFO    MainThread:53378 [wandb_setup.py:_flush():68] Loading settings from /home/sasank.desaraju/.config/wandb/settings
2022-09-20 20:26:48,524 INFO    MainThread:53378 [wandb_setup.py:_flush():68] Loading settings from /blue/banks/share/JTML/LitJTML/wandb/settings
2022-09-20 20:26:48,524 INFO    MainThread:53378 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'api_key': '***REDACTED***', '_require_service': 'True'}
2022-09-20 20:26:48,524 INFO    MainThread:53378 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'scripts/train.py', 'program': '/blue/banks/share/JTML/LitJTML/scripts/train.py'}
2022-09-20 20:26:48,524 INFO    MainThread:53378 [wandb_init.py:_log_setup():476] Logging user logs to /blue/banks/share/JTML/LitJTML/wandb/run-20220920_202648-2gh6zpyi/logs/debug.log
2022-09-20 20:26:48,524 INFO    MainThread:53378 [wandb_init.py:_log_setup():477] Logging internal logs to /blue/banks/share/JTML/LitJTML/wandb/run-20220920_202648-2gh6zpyi/logs/debug-internal.log
2022-09-20 20:26:48,524 INFO    MainThread:53378 [wandb_init.py:init():516] calling init triggers
2022-09-20 20:26:48,525 INFO    MainThread:53378 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-09-20 20:26:48,525 INFO    MainThread:53378 [wandb_init.py:init():569] starting backend
2022-09-20 20:26:48,525 INFO    MainThread:53378 [wandb_init.py:init():573] setting up manager
2022-09-20 20:26:48,526 INFO    MainThread:53378 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-09-20 20:26:48,531 INFO    MainThread:53378 [wandb_init.py:init():580] backend started and connected
2022-09-20 20:26:48,532 INFO    MainThread:53378 [wandb_init.py:init():658] updated telemetry
2022-09-20 20:26:48,532 INFO    MainThread:53378 [wandb_init.py:init():692] communicating run to backend with 30 second timeout
2022-09-20 20:26:48,780 INFO    MainThread:53378 [wandb_run.py:_on_init():1974] communicating current version
2022-09-20 20:26:48,885 INFO    MainThread:53378 [wandb_run.py:_on_init():1978] got version response 
2022-09-20 20:26:48,885 INFO    MainThread:53378 [wandb_init.py:init():727] starting run threads in backend
2022-09-20 20:26:50,972 INFO    MainThread:53378 [wandb_run.py:_console_start():1954] atexit reg
2022-09-20 20:26:50,973 INFO    MainThread:53378 [wandb_run.py:_redirect():1812] redirect: SettingsConsole.WRAP_RAW
2022-09-20 20:26:50,973 INFO    MainThread:53378 [wandb_run.py:_redirect():1877] Wrapping output streams.
2022-09-20 20:26:50,973 INFO    MainThread:53378 [wandb_run.py:_redirect():1899] Redirects installed.
2022-09-20 20:26:50,973 INFO    MainThread:53378 [wandb_init.py:init():764] run started, returning control to user process
2022-09-20 20:26:57,150 WARNING MsgRouterThr:53378 [router.py:message_loop():77] message_loop has been closed
